ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations
120.750989557,19.4818696149,0,1367.34693878,-25.1020408163,175.802143729,-16.7412545635,26.4127997874,200,0,-24.1978562712,-16.7412545635,29.4245790536,0.757599088778,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-23.8775510204,175.802143729,-16.629027265,26.4656981094,200,0,-24.1978562712,-16.629027265,29.3608718519,0.76367751632,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-22.6530612245,180.199745565,-16.484097158,26.4656981094,200,0,-19.8002544348,-16.484097158,25.7638416156,0.76902839263,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-21.4285714286,180.218249552,-15.4402963191,26.4656981094,200,0,-19.781750448,-15.4402963191,25.0942304367,0.772940106403,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-20.2040816327,180.100007828,-15.4402963191,26.4499755195,200,0,-19.8999921723,-15.4402963191,25.1875453127,0.774433742238,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-18.9795918367,180.029532976,-15.3992402739,26.4499755195,200,0,-19.9704670245,-15.3992402739,25.2181711111,0.778457995876,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-17.7551020408,181.46934063,-15.3638635965,26.4499755195,200,0,-18.5306593699,-15.3638635965,24.0714279031,0.783033336717,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-16.5306122449,181.46934063,-14.786295799,26.4626090662,200,0,-18.5306593699,-14.786295799,23.7069584751,0.776036942876,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-15.306122449,181.46934063,-14.786295799,26.4626090662,200,0,-18.5306593699,-14.786295799,23.7069584751,0.77152054156,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-14.0816326531,183.126743259,-11.0378150599,26.4626090662,200,0,-16.8732567407,-11.0378150599,20.1628409292,0.769579661549,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-12.8571428571,186.590082421,-11.0378150599,26.4423154976,200,0,-13.4099175792,-11.0378150599,17.3683404728,0.770315238152,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-11.6326530612,186.590082421,-9.76321661163,26.4423154976,200,0,-13.4099175792,-9.76321661163,16.5875341171,0.770142289034,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-10.4081632653,186.590082421,-5.06460962056,26.5041817872,200,0,-13.4099175792,-5.06460962056,14.3344396503,0.755046871576,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-9.18367346939,186.590082421,-3.47970510495,26.5041817872,200,0,-13.4099175792,-3.47970510495,13.854033243,0.735752753137,1.01189547215,supported,grid,,,,,,,,,,,,
