candidate_id,nominal_rank,objective_yd,support_category,selection_method,cluster_id,selected_for_robustness,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,launch_direction_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,support_knn_distance,support_threshold,source,rank,seed
local_2030_00370,11,0.0274413660434,supported,all_supported_near_optimal,-1,True,127.613668209,12.573678336,3880.68470915,0.314289592084,0,200.011308601,0.0250028821333,21.8841152046,0.397531458505,1.01189547215,local_refinement,11,2030
local_2030_02126,12,0.0274413660434,supported,all_supported_near_optimal,-1,True,128.106228001,12.5908014298,3887.30934377,0.443559995707,0,200.011308601,0.0250028821333,22.0075484536,0.413669766062,1.01189547215,local_refinement,12,2030
local_2030_03817,13,0.0274413660434,supported,all_supported_near_optimal,-1,True,128.366043965,12.5969207306,3884.09831701,0.437804578593,0,200.011308601,0.0250028821333,22.0075484536,0.418739770911,1.01189547215,local_refinement,13,2030
local_2030_04361,14,0.0295619362232,supported,all_supported_near_optimal,-1,True,127.593916971,12.8357094379,3860.96369365,0.500925262881,0,199.984227747,0.0250028821333,22.4912278314,0.390103184743,1.01189547215,local_refinement,14,2030
local_2030_04570,15,0.0295619362232,supported,all_supported_near_optimal,-1,True,127.89569281,12.7467216164,3936.27996369,0.474152555772,0,199.984227747,0.0250028821333,22.14895225,0.411831268207,1.01189547215,local_refinement,15,2030
local_2030_00564,16,0.0295619362232,supported,all_supported_near_optimal,-1,True,128.011332406,12.7856473166,3916.50836387,0.814418621165,0,199.984227747,0.0250028821333,22.6401267393,0.413863581199,1.01189547215,local_refinement,16,2030
local_2030_04150,17,0.0295619362232,supported,all_supported_near_optimal,-1,True,128.191033767,12.9256808309,3890.26890702,0.469500284837,0,199.984227747,0.0250028821333,23.3962701887,0.414519273359,1.01189547215,local_refinement,17,2030
local_2030_03303,18,0.0295619362232,supported,all_supported_near_optimal,-1,True,128.096225956,12.8833253556,3932.89900101,0.374279064651,0,199.984227747,0.0250028821333,23.3962701887,0.416754058992,1.01189547215,local_refinement,18,2030
de_seed_2029,19,0.0305047735652,supported,all_supported_near_optimal,-1,True,126.126844668,21.9229851225,4784.92035686,-1.10663561043,0,199.982499513,-0.0249854787981,35.9806009045,0.818696056228,1.01189547215,differential_evolution,19,2029
de_seed_2027,20,0.0305047735652,supported,all_supported_near_optimal,-1,True,126.300623541,21.8999499437,4786.36498158,-1.47947533902,0,199.982499513,-0.0249854787981,35.9806009045,0.825673782538,1.01189547215,differential_evolution,20,2027
local_2026_01576,21,0.030858613865,supported,all_supported_near_optimal,-1,True,120.546963053,18.9140623734,2351.62786025,0.423992034494,0,200.004343816,0.0305513553473,27.490270242,0.609403385638,1.01189547215,local_refinement,21,2026
local_2026_03904,22,0.0350085405716,supported,all_supported_near_optimal,-1,True,121.269455852,20.1175429676,2566.52167192,-0.469732451679,0,200.031256911,0.0157671620728,29.1005015796,0.666990751809,1.01189547215,local_refinement,22,2026
local_2026_02392,23,0.0350085405716,supported,all_supported_near_optimal,-1,True,121.115762288,20.3525393901,2575.23575052,-0.220150507686,0,200.031256911,0.0157671620728,28.8199055675,0.673461092646,1.01189547215,local_refinement,23,2026
local_2026_02752,24,0.0382706492309,supported,all_supported_near_optimal,-1,True,121.719624097,19.7886060906,2596.97174247,-0.245322535106,0,199.98135576,0.0334220723878,28.777613676,0.644959248027,1.01189547215,local_refinement,24,2026
