candidate_id,parameter_scenario,model_member_count,model_combination_rule,simulation_count,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,worst_model_mean_miss_yd,probability_within_3yd,probability_within_5yd,objective_prediction_std,support_category,objective_yd,support_knn_distance,decision_space_support,full_model_input_support,out_of_support_fraction
local_2027_03828,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.2741204194,6.2285552855,13.2343389426,14.7852270138,8.33022364923,0.1186,0.3677,1.18045598831,supported,0.189438168758,0.791950054815,supported,supported,0
local_2027_01450,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.15955930583,5.22648839861,11.6401051525,13.08674425,6.9055272234,0.1641,0.4679,0.896946403839,supported,0.189438168758,0.795035331963,supported,supported,0
local_2029_02449,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.51196958773,5.54575862705,12.157074124,13.668336203,7.30592711825,0.1515,0.4346,0.977109406396,supported,0.189438168758,0.79507556178,supported,supported,0
local_2027_02469,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.06954182957,6.03383866713,12.927685377,14.5166090881,8.0587126741,0.1267,0.3876,1.12323280254,supported,0.189438168758,0.795377640869,supported,supported,0
local_2029_01190,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.14383939727,5.22404408415,11.5686439253,12.9763541873,6.89649874052,0.1636,0.4701,0.88845074386,supported,0.189438168758,0.798045419413,supported,supported,0
local_2029_01632,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.3207999942,5.42821976691,11.7510420372,13.2291016842,7.11545103253,0.1516,0.4413,0.917117153292,supported,0.189438168758,0.798768400697,supported,supported,0
local_2029_02906,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.54136430832,5.58684961268,12.1444605648,13.6819815244,7.3847609347,0.146,0.426,0.959224308186,supported,0.189438168758,0.803118173461,supported,supported,0
local_2027_02466,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.9682866405,5.94081538039,12.7226659919,14.3866678857,7.94166183528,0.1299,0.3958,1.09939333471,supported,0.189438168758,0.805052814411,supported,supported,0
local_2029_02746,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.1983408669,5.27058881217,11.6787883405,13.1226179794,6.93136381228,0.1616,0.4643,0.903765218171,supported,0.189438168758,0.807133326587,supported,supported,0
local_2029_00746,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.01737574012,5.96334966917,12.8794204931,14.4927140608,7.99143435963,0.1257,0.3941,1.10911215513,supported,0.189438168758,0.808041031573,supported,supported,0
local_2029_01533,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.56656706267,5.57831869084,12.2018808085,13.7837807582,7.41428492161,0.1443,0.4265,0.962942152668,supported,0.189438168758,0.808340301961,supported,supported,0
local_2027_00732,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.80436024826,5.79838709004,12.5279235523,14.1311840227,7.73536153837,0.1359,0.408,1.04435626135,supported,0.189438168758,0.808687190955,supported,supported,0
local_2027_02445,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.60293882421,6.60318429265,13.5618954603,15.148868293,8.78699507829,0.1024,0.3326,1.25783916245,supported,0.189438168758,0.810928349222,supported,supported,0
local_2027_00541,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.39698562871,5.4186063044,12.0566763214,13.5753476114,7.17372329408,0.1584,0.4459,0.953652941562,supported,0.189438168758,0.812626141633,supported,supported,0
local_2026_03522,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.06133219883,5.60914582604,10.2015025677,11.364886656,8.58155656471,0.1739,0.4456,2.06093784726,supported,0.190662103811,0.737712447549,supported,supported,0
local_2026_01054,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,9.15842008921,9.41595520733,13.7851145136,14.4464258803,13.0664948077,0.0379,0.1699,3.31926698286,supported,0.191280554762,0.662737791955,supported,supported,0
local_2026_02883,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.35050875675,4.87982712062,9.38682497524,10.6279475175,7.39960011205,0.2476,0.5131,1.4663223254,supported,0.191699711473,0.650272599857,supported,supported,0
local_2026_03657,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.06814703224,5.59489503432,10.2190971086,11.4487485222,8.49457041179,0.1739,0.4453,2.05070908575,supported,0.192884368158,0.711536620307,supported,supported,0
local_2026_01404,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.11036482249,4.67609760369,9.08950593207,10.1855617029,7.19599690927,0.2835,0.5365,1.45660344661,supported,0.193289488027,0.668051081244,supported,supported,0
local_2026_03472,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.66713853542,5.14925862482,9.74070024603,10.9076566469,8.11676204668,0.2165,0.486,1.89643564745,supported,0.193545289469,0.715189766239,supported,supported,0
local_2026_02203,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.11662276097,4.64324587245,9.08785385139,10.279240722,7.31561806256,0.2902,0.5389,1.54490240071,supported,0.194009022864,0.646448085447,supported,supported,0
local_2026_02990,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.56624511219,6.10016304642,11.3011328187,12.1025141217,10.0053040083,0.1489,0.41,2.55492185,supported,0.195140222716,0.666767187079,supported,supported,0
local_2026_02294,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.21440958974,4.78196444065,9.19748472117,10.3769323354,7.16272927829,0.2588,0.5256,1.35203731604,supported,0.195170034897,0.675774218206,supported,supported,0
local_2026_04302,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.44417108402,5.03518216318,9.45584081086,10.7226762712,7.66180623314,0.2361,0.4954,1.5630658348,supported,0.195170034897,0.687924661448,supported,supported,0
local_2026_02084,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.1881226199,4.71069196171,9.11602105176,10.4193212318,6.91091575384,0.2567,0.5307,1.1787142203,supported,0.195170034897,0.690994478674,supported,supported,0
local_2026_00680,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.78887748044,5.25683322001,9.96349625603,11.017274494,8.22557120576,0.2052,0.4792,2.01847961482,supported,0.195812314378,0.711580915767,supported,supported,0
local_2026_04110,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.06158756596,4.60475804778,9.05084708941,10.1515791691,7.18213685758,0.2959,0.5438,1.47773401616,supported,0.196073335105,0.641520326829,supported,supported,0
