record_id,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,loo_knn_distance,support_threshold,support_category
339,102.5635,18.86,1.03,5331.96,-4.28,0.446938821471,1.40896007673,supported
340,99.8121,14.81,2.55,5639.79,6.6,0.610045951991,1.40896007673,supported
341,100.8411,19.43,2.43,4630.8999,-1.45,0.45064797811,1.40896007673,supported
342,104.4426,19.8,3.16,4874.5601,-2.95,0.481821866577,1.40896007673,supported
343,92.4526,15.67,10.74,5225.5898,23.07,1.07637894284,1.40896007673,supported
344,99.0292,16.76,2.89,5832.2998,3.06,0.619230415111,1.40896007673,supported
345,77.398,22.94,-13.2,7631.0098,-11.7,1.39174128307,1.40896007673,supported
346,84.6904,24.33,-8.81,7943.7598,-6.84,1.17277877325,1.40896007673,supported
347,83.1693,28.82,-6.99,5701.0098,-7.46,0.83690096776,1.40896007673,supported
351,106.6795,12.12,-8.6,3892.96,-27.66,0.663428145479,1.40896007673,supported
352,109.0954,13.03,-6.04,3723.26,-23.66,0.559600016865,1.40896007673,supported
353,93.2355,16.4,-0.71,1829.55,-7.18,0.779221037116,1.40896007673,supported
354,104.8228,9.13,-9.56,3278.6799,-24.39,0.854795436464,1.40896007673,supported
356,88.0234,14.53,-5.1,1913.8101,-40.53,0.757210668422,1.40896007673,supported
357,99.6108,7.28,-11.29,2704.0601,-31.86,1.14371916233,1.40896007673,supported
360,110.0349,5.41,-2.72,2525.6001,1.7,0.805056918213,1.40896007673,supported
362,110.3704,17,-2.29,4334.7598,-6.35,0.510267291949,1.40896007673,supported
365,108.3348,13.47,-5.71,4542.7598,-21.09,0.582720840794,1.40896007673,supported
366,85.876,17.82,-2.6,2054.0901,-33.18,0.839031677323,1.40896007673,supported
367,104.3083,4.26,-8.3,2216.53,-20.46,1.0705338068,1.40896007673,supported
368,95.9422,17.14,-3.98,2356.51,-27.66,0.760125191427,1.40896007673,supported
369,100.1476,17.92,3.47,2436.97,-17.72,0.885594773174,1.40896007673,supported
370,108.9612,14.37,-3.56,3441.9299,-26.58,0.708101759069,1.40896007673,supported
371,115.0233,13.05,-5.57,4031.1499,-34.68,0.785391203889,1.40896007673,supported
372,115.6496,13.98,-1.97,4975.0898,-26.34,0.879651666923,1.40896007673,supported
374,102.1385,19.59,1.66,3825.8,2.22,0.570197722463,1.40896007673,supported
377,112.6074,16.54,3.46,1138.29,-56.07,1.11708778604,1.40896007673,supported
379,125.3355,18.86,2.02,3271.25,7.19,0.809941591323,1.40896007673,supported
381,130.0778,8.43,-5.24,15368.3604,-0.61,5.1705256153,1.40896007673,borderline
382,128.1988,4.6,-17.45,2723.5,6.06,1.84020503943,1.40896007673,borderline
383,113.614,11.57,1.5,3422.6299,15.41,0.540844330556,1.40896007673,supported
384,90.0143,18.45,3.25,1972.8199,-20.07,0.889410936245,1.40896007673,supported
385,89.1866,21.1,5.01,2513,25.29,0.782258388295,1.40896007673,supported
386,87.3747,19.74,8.72,2342.46,13.58,0.78259926822,1.40896007673,supported
388,89.3209,20,7.06,2284.23,12.09,0.658929226059,1.40896007673,supported
389,97.5752,20.08,4.69,4848.8301,20.63,0.533637224975,1.40896007673,supported
391,92.5868,14.3,8.54,5020.0801,32.64,1.13582742637,1.40896007673,supported
392,110.4375,15.78,-4.28,4425.73,-7.98,0.503718489251,1.40896007673,supported
394,92.8552,18.38,0.39,2526.6201,5.52,0.716071201706,1.40896007673,supported
395,86.6813,21.2,2.97,2354.53,22.84,0.816075383376,1.40896007673,supported
396,93.2579,9.75,-0.37,3814.0601,22.64,0.986007020348,1.40896007673,supported
398,89.4775,19.18,6.12,7608.8198,22.88,0.959109993623,1.40896007673,supported
401,94.8685,19.86,3.11,6462.2002,19.37,0.61044402173,1.40896007673,supported
402,96.3001,19.89,6.31,6254.6602,18.16,0.617619896817,1.40896007673,supported
403,98.0449,19.97,-1.72,2625.27,13.63,0.627189665602,1.40896007673,supported
404,82.3193,3.58,0.27,2897.95,13.85,1.34515559656,1.40896007673,supported
407,123.9486,11.27,-3.88,3216.8501,-1.57,0.545482056303,1.40896007673,supported
408,119.5642,16.47,0.91,1434.39,-8.73,0.741857058067,1.40896007673,supported
410,116.522,18.3,4.12,3859.04,21.13,0.609035182626,1.40896007673,supported
411,127.1475,14.63,4.39,3159.1899,10.73,0.622239316158,1.40896007673,supported
412,94.3092,28.2,-4.27,5826.5698,-15.21,0.85688574433,1.40896007673,supported
413,89.3656,32.26,-5.24,5925.79,-35.14,1.3465328997,1.40896007673,supported
414,70.3293,40.84,-3.19,4534.9102,-18.36,1.85558788043,1.40896007673,borderline
415,97.7094,5.32,-2.53,2258.95,42.2,1.09326345042,1.40896007673,supported
416,102.049,13.85,6.11,764.89,-1.99,0.870540385205,1.40896007673,supported
417,87.8892,13.49,-3.15,5918.7598,4.27,1.09501478707,1.40896007673,supported
418,101.8477,11.14,-0.92,3403.48,1.75,0.750022235409,1.40896007673,supported
419,124.3065,5.52,0.9,4561.0898,7.75,0.741453048504,1.40896007673,supported
420,117.551,4.02,-1.53,1290.98,3.85,0.862991963256,1.40896007673,supported
421,129.8542,6.82,2.5,2767.5801,-22.03,0.849123455098,1.40896007673,supported
422,116.0299,6.04,1.27,3761.23,-80.49,1.64823351325,1.40896007673,borderline
423,119.1169,6.04,-6.17,2709.29,-22.68,0.873773282473,1.40896007673,supported
426,116.7457,17.02,11.05,6668.8999,28.67,0.934524151501,1.40896007673,supported
428,113.3679,14.97,1.31,4058.29,1.53,0.547172025838,1.40896007673,supported
429,127.0804,10.9,-1.85,2311.49,-11.86,0.682833472923,1.40896007673,supported
433,124.6868,10.92,0.89,4876.3999,13.66,0.687764855695,1.40896007673,supported
434,124.575,11.72,-0.01,1895.6,-0.03,0.591732578316,1.40896007673,supported
435,115.2917,5.9,-6.18,2471.8701,21.05,0.552467930342,1.40896007673,supported
436,121.667,12.19,-0.11,2005.6801,-2.71,0.570210114524,1.40896007673,supported
437,96.8817,17.87,-5.89,3438.3501,-22.97,0.797812021128,1.40896007673,supported
439,92.8552,21.3,5.56,4333.21,13.89,0.637027600817,1.40896007673,supported
441,103.0333,20.32,-0.16,5240.02,0.25,0.539973155719,1.40896007673,supported
442,106.6347,17.57,1.08,4899.98,-6.16,0.471712155013,1.40896007673,supported
