x,carry_distance_yd,feature,feature_label
95.1816,126.9248,ball_speed_mph,Ball speed
92.8552,124.7703,ball_speed_mph,Ball speed
86.905,114.3263,ball_speed_mph,Ball speed
103.0333,141.1308,ball_speed_mph,Ball speed
106.6347,147.9331,ball_speed_mph,Ball speed
106.4782,150.1859,ball_speed_mph,Ball speed
103.7044,145.0241,ball_speed_mph,Ball speed
108.0888,152.6247,ball_speed_mph,Ball speed
106.165,125.2734,ball_speed_mph,Ball speed
118.7366,170.6584,ball_speed_mph,Ball speed
118.1102,171.9598,ball_speed_mph,Ball speed
117.8865,165.4965,ball_speed_mph,Ball speed
123.9486,181.2008,ball_speed_mph,Ball speed
104.6886,143.4711,ball_speed_mph,Ball speed
122.3828,179.4182,ball_speed_mph,Ball speed
111.3771,160.1925,ball_speed_mph,Ball speed
124.1276,182.2835,ball_speed_mph,Ball speed
114.1061,146.3145,ball_speed_mph,Ball speed
117.6852,139.7419,ball_speed_mph,Ball speed
108.648,132.0538,ball_speed_mph,Ball speed
125.425,156.846,ball_speed_mph,Ball speed
134.0372,169.6304,ball_speed_mph,Ball speed
123.4565,179.2323,ball_speed_mph,Ball speed
121.3091,163.2218,ball_speed_mph,Ball speed
117.7076,176.2795,ball_speed_mph,Ball speed
118.4905,165.4746,ball_speed_mph,Ball speed
121.2867,157.3819,ball_speed_mph,Ball speed
96.5014,108.5521,ball_speed_mph,Ball speed
125.5145,160.4221,ball_speed_mph,Ball speed
116.9694,162.4672,ball_speed_mph,Ball speed
107.0374,146.4348,ball_speed_mph,Ball speed
104.711,144.7288,ball_speed_mph,Ball speed
105.4715,137.4235,ball_speed_mph,Ball speed
115.1127,163.2874,ball_speed_mph,Ball speed
92.4749,121.3911,ball_speed_mph,Ball speed
88.605,118.0446,ball_speed_mph,Ball speed
90.7078,113.9436,ball_speed_mph,Ball speed
73.9307,80.4899,ball_speed_mph,Ball speed
96.8817,125.6124,ball_speed_mph,Ball speed
91.0657,113.9982,ball_speed_mph,Ball speed
89.7683,119.4444,ball_speed_mph,Ball speed
100.1476,137.675,ball_speed_mph,Ball speed
90.5959,112.7625,ball_speed_mph,Ball speed
103.5925,138.8451,ball_speed_mph,Ball speed
107.5072,151.3998,ball_speed_mph,Ball speed
103.0109,140.6277,ball_speed_mph,Ball speed
119.9222,171.5114,ball_speed_mph,Ball speed
107.3729,131.1789,ball_speed_mph,Ball speed
125.5369,186.5595,ball_speed_mph,Ball speed
118.1102,79.1557,ball_speed_mph,Ball speed
80.5521,95.2537,ball_speed_mph,Ball speed
85.9431,115.2887,ball_speed_mph,Ball speed
87.1734,111.472,ball_speed_mph,Ball speed
93.8618,121.9926,ball_speed_mph,Ball speed
106.4782,75.2625,ball_speed_mph,Ball speed
93.7053,118.0556,ball_speed_mph,Ball speed
95.0251,123.7314,ball_speed_mph,Ball speed
103.9728,142.4869,ball_speed_mph,Ball speed
110.4823,152.2528,ball_speed_mph,Ball speed
91.3341,118.0227,ball_speed_mph,Ball speed
83.7509,95.1662,ball_speed_mph,Ball speed
107.3729,139.6544,ball_speed_mph,Ball speed
108.2677,150.5359,ball_speed_mph,Ball speed
117.0141,169.9366,ball_speed_mph,Ball speed
